RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
753875,176,"Crestview, FL",msa,FL,269696.0,270879.0,276017.0,280588.0,274999.0,274874.0,266753.0,268904.0,264738.0,266009.0,266333.0,268779.0,274358.0,278945.0,279952.0,281949.0,290505.0,291505.0,290636.0,283923.0,283747.0,283672.0,293040.0,313015.0,335440.0,354225.0,359554.0,364945.0,364587.0,372600.0,376414.0,385023.0,389575.0,396285.0,385608.0,380480.0,369287.0,376008.0,383954.0,398330.0,407868.0,414672.0,418639.0,424562.0,444490.0,452253.0,455204.0,426238.0,414609.0,416108.0,422787.0,419409.0,406066.0,401505.0,407623.0,422289.0,431336.0,429201.0,418906.0,414934.0,429640.0,439158.0,450020.0,438528.0,432094.0,429722.0,440094.0
394851,177,"Merced, CA",msa,CA,257121.0,254355.0,261641.0,259303.0,254231.0,252505.0,258484.0,255961.0,257374.0,259402.0,273891.0,271480.0,274775.0,272257.0,279152.0,272393.0,270626.0,270456.0,277634.0,280743.0,279558.0,277862.0,279849.0,283321.0,298640.0,306862.0,313093.0,310421.0,309521.0,311856.0,316502.0,321446.0,326159.0,334929.0,348409.0,357874.0,366135.0,368826.0,377719.0,376375.0,374798.0,377807.0,390157.0,400046.0,402284.0,404922.0,403550.0,402701.0,395256.0,395007.0,388028.0,379912.0,375477.0,376592.0,386188.0,386576.0,385067.0,384325.0,386563.0,390962.0,395081.0,392185.0,394434.0,401819.0,404720.0,401243.0,394401.0
395197,178,"Waco, TX",msa,TX,179413.0,179230.0,182689.0,178190.0,171724.0,174953.0,177071.0,179696.0,175513.0,177001.0,183817.0,181079.0,186545.0,185361.0,193685.0,191151.0,188557.0,189594.0,191414.0,195129.0,189639.0,192721.0,198012.0,203060.0,204197.0,204650.0,213003.0,215296.0,218092.0,217886.0,222991.0,224804.0,228952.0,229842.0,234914.0,239391.0,241570.0,243625.0,237558.0,239146.0,242592.0,252250.0,256744.0,253339.0,250928.0,259514.0,263489.0,267715.0,263060.0,262224.0,264422.0,256657.0,253195.0,249113.0,256186.0,256926.0,254024.0,251377.0,258711.0,265235.0,264221.0,257848.0,258672.0,259807.0,262107.0,259557.0,262209.0
394447,179,"Cedar Rapids, IA",msa,IA,150220.0,155921.0,152679.0,149484.0,145914.0,150139.0,152578.0,150297.0,152179.0,153055.0,157033.0,154134.0,156567.0,156335.0,158268.0,157609.0,157833.0,156540.0,155717.0,154551.0,155517.0,158031.0,159596.0,159695.0,160711.0,164361.0,168755.0,172071.0,171300.0,169102.0,168856.0,165410.0,166793.0,169558.0,175168.0,178238.0,177837.0,177244.0,177266.0,173736.0,174156.0,174873.0,178445.0,179334.0,176911.0,180731.0,182541.0,189992.0,190660.0,194243.0,191549.0,190451.0,190128.0,188205.0,185318.0,185271.0,186675.0,188231.0,189241.0,190934.0,194525.0,198995.0,199403.0,197870.0,194685.0,198671.0,205870.0
394348,180,"Atlantic City, NJ",msa,NJ,177313.0,175427.0,171587.0,166807.0,170406.0,172869.0,180005.0,182180.0,182377.0,178452.0,180937.0,182211.0,187282.0,187398.0,185088.0,183321.0,185406.0,186462.0,189960.0,189260.0,194424.0,189931.0,195269.0,200996.0,215317.0,216517.0,216193.0,218911.0,227442.0,238853.0,242733.0,243626.0,240268.0,238343.0,235131.0,232419.0,231031.0,233128.0,234632.0,241865.0,243194.0,247634.0,251072.0,262544.0,265897.0,270887.0,266238.0,271503.0,264378.0,265230.0,259548.0,256580.0,256356.0,252735.0,252590.0,255452.0,265352.0,272025.0,269597.0,275414.0,291272.0,296031.0,299486.0,293307.0,301021.0,291330.0,288858.0
394412,181,"Bremerton, WA",msa,WA,330119.0,336283.0,333921.0,333011.0,327966.0,328574.0,331790.0,333737.0,334053.0,345570.0,353939.0,359571.0,359405.0,362979.0,368653.0,369362.0,370709.0,377130.0,380472.0,383244.0,383545.0,384863.0,391071.0,401064.0,406260.0,409028.0,405627.0,416643.0,416875.0,420805.0,417955.0,431529.0,448084.0,461591.0,471132.0,475384.0,476395.0,480865.0,484299.0,491073.0,489755.0,492636.0,492672.0,502414.0,515622.0,528484.0,547328.0,540063.0,535984.0,512156.0,504751.0,497679.0,490457.0,490328.0,480610.0,489519.0,487079.0,498641.0,499486.0,506197.0,511308.0,514175.0,517889.0,510021.0,507512.0,518813.0,507089.0
395103,182,"Sioux Falls, SD",msa,SD,206047.0,202614.0,200806.0,205024.0,201350.0,197181.0,198490.0,202629.0,208292.0,205158.0,209694.0,212235.0,215441.0,208947.0,207413.0,210780.0,218029.0,218748.0,211910.0,210529.0,211159.0,216420.0,218247.0,221806.0,222987.0,227264.0,229735.0,231835.0,232896.0,230005.0,233190.0,234102.0,244560.0,246547.0,254892.0,258731.0,264723.0,265905.0,264968.0,263454.0,261787.0,265310.0,268159.0,266908.0,268817.0,280125.0,294234.0,301983.0,299149.0,297807.0,296493.0,293429.0,292491.0,287004.0,283711.0,275031.0,279736.0,287724.0,298085.0,299833.0,300970.0,299655.0,297450.0,295665.0,294268.0,300192.0,303231.0
395065,183,"Santa Cruz, CA",msa,CA,790313.0,789684.0,797057.0,785727.0,779757.0,783466.0,801484.0,807636.0,811452.0,803014.0,796294.0,789031.0,788658.0,758713.0,760016.0,761579.0,810034.0,828394.0,820794.0,818404.0,800759.0,810481.0,799901.0,815467.0,832056.0,860286.0,875551.0,882732.0,884582.0,915649.0,924705.0,931468.0,947412.0,992140.0,1001277.0,1014773.0,1023988.0,1025768.0,976355.0,955413.0,964355.0,1007854.0,1076828.0,1162716.0,1221037.0,1190501.0,1148276.0,1113161.0,1111683.0,1108779.0,1135178.0,1107775.0,1074712.0,1020616.0,1038017.0,1064492.0,1074057.0,1098983.0,1100260.0,1139531.0,1112820.0,1086873.0,1036599.0,1043420.0,1043121.0,1008605.0,998943.0
394572,184,"Erie, PA",msa,PA,121410.0,120636.0,119641.0,119519.0,117316.0,111208.0,113821.0,117467.0,122392.0,121646.0,124003.0,125598.0,126683.0,126755.0,125980.0,126498.0,124899.0,126950.0,126454.0,129346.0,131299.0,135394.0,131816.0,131969.0,129417.0,132999.0,137604.0,140064.0,141531.0,137750.0,136935.0,133534.0,135356.0,138799.0,141742.0,142274.0,144086.0,146246.0,147437.0,148362.0,148407.0,146057.0,143738.0,147820.0,147054.0,152873.0,153107.0,164605.0,159315.0,158407.0,157345.0,158205.0,165716.0,160632.0,160411.0,153015.0,154636.0,156533.0,164859.0,164673.0,169308.0,161714.0,164062.0,166179.0,165548.0,167409.0,163047.0
394924,185,"Norwich, CT",msa,CT,212413.0,214898.0,216669.0,217444.0,215697.0,217295.0,219730.0,223945.0,223231.0,225236.0,225576.0,222656.0,222573.0,220177.0,224978.0,226662.0,229661.0,230403.0,231774.0,232860.0,236159.0,234822.0,236439.0,238320.0,245639.0,256010.0,261650.0,264121.0,261705.0,263589.0,269862.0,268433.0,277004.0,276060.0,281490.0,274613.0,276666.0,280298.0,279376.0,276552.0,280114.0,286979.0,289321.0,288500.0,288160.0,292811.0,296264.0,295121.0,293855.0,295153.0,306850.0,303264.0,298325.0,293097.0,300066.0,308323.0,305443.0,308564.0,311300.0,317571.0,324090.0,323773.0,327301.0,327459.0,321112.0,316475.0,309752.0
